# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
    259   1.565541e+01   1.523764e-01   1.474443e+00   0.000000e+00   0.000000e+00
    260   1.570228e+01   1.532545e-01   1.470297e+00   0.000000e+00   0.000000e+00
    261   1.574916e+01   1.541351e-01   1.466175e+00   0.000000e+00   0.000000e+00
    262   1.579603e+01   1.550184e-01   1.462078e+00   0.000000e+00   0.000000e+00
    263   1.584291e+01   1.559042e-01   1.458006e+00   0.000000e+00   0.000000e+00
    264   1.588978e+01   1.567926e-01   1.453958e+00   0.000000e+00   0.000000e+00
    265   1.593666e+01   1.576836e-01   1.449934e+00   0.000000e+00   0.000000e+00
    266   1.598353e+01   1.585772e-01   1.445933e+00   0.000000e+00   0.000000e+00
    267   1.603041e+01   1.594733e-01   1.441957e+00   0.000000e+00   0.000000e+00
    268   1.607728e+01   1.603721e-01   1.438004e+00   0.000000e+00   0.000000e+00
    269   1.612416e+01   1.612734e-01   1.434074e+00   0.000000e+00   0.000000e+00
    270   1.617103e+01   1.621773e-01   1.430168e+00   0.000000e+00   0.000000e+00
    271   1.621791e+01   1.630838e-01   1.426284e+00   0.000000e+00   0.000000e+00
    272   1.626478e+01   1.639928e-01   1.422423e+00   0.000000e+00   0.000000e+00
    273   1.631166e+01   1.649045e-01   1.418585e+00   0.000000e+00   0.000000e+00
    274   1.635853e+01   1.658188e-01   1.414770e+00   0.000000e+00   0.000000e+00
    275   1.640541e+01   1.667356e-01   1.410976e+00   0.000000e+00   0.000000e+00
    276   1.645228e+01   1.676551e-01   1.407205e+00   0.000000e+00   0.000000e+00
    277   1.649916e+01   1.685771e-01   1.403456e+00   0.000000e+00   0.000000e+00
    278   1.654603e+01   1.695018e-01   1.399728e+00   0.000000e+00   0.000000e+00
    279   1.659291e+01   1.704290e-01   1.396022e+00   0.000000e+00   0.000000e+00
    280   1.663978e+01   1.713588e-01   1.392338e+00   0.000000e+00   0.000000e+00
    281   1.668666e+01   1.722913e-01   1.388674e+00   0.000000e+00   0.000000e+00
    282   1.673353e+01   1.732263e-01   1.385032e+00   0.000000e+00   0.000000e+00
    283   1.678041e+01   1.741640e-01   1.381411e+00   0.000000e+00   0.000000e+00
    284   1.682728e+01   1.751042e-01   1.377811e+00   0.000000e+00   0.000000e+00
    285   1.687416e+01   1.760471e-01   1.374231e+00   0.000000e+00   0.000000e+00
    286   1.692103e+01   1.769926e-01   1.370672e+00   0.000000e+00   0.000000e+00
    287   1.696791e+01   1.779407e-01   1.367133e+00   0.000000e+00   0.000000e+00
    288   1.701478e+01   1.788914e-01   1.363615e+00   0.000000e+00   0.000000e+00
    289   1.706166e+01   1.798447e-01   1.360116e+00   0.000000e+00   0.000000e+00
    290   1.710853e+01   1.808007e-01   1.356638e+00   0.000000e+00   0.000000e+00
    291   1.715541e+01   1.817592e-01   1.353179e+00   0.000000e+00   0.000000e+00
    292   1.720228e+01   1.827204e-01   1.349740e+00   0.000000e+00   0.000000e+00
    293   1.724916e+01   1.836842e-01   1.346320e+00   0.000000e+00   0.000000e+00
    294   1.729603e+01   1.846507e-01   1.342920e+00   0.000000e+00   0.000000e+00
    295   1.734291e+01   1.856198e-01   1.339539e+00   0.000000e+00   0.000000e+00
    296   1.738978e+01   1.865915e-01   1.336177e+00   0.000000e+00   0.000000e+00
    297   1.743666e+01   1.875658e-01   1.332834e+00   0.000000e+00   0.000000e+00
    298   1.748353e+01   1.885428e-01   1.329510e+00   0.000000e+00   0.000000e+00
    299   1.753041e+01   1.895224e-01   1.326205e+00   0.000000e+00   0.000000e+00
    300   1.757728e+01   1.905046e-01   1.322918e+00   0.000000e+00   0.000000e+00
    301   1.762416e+01   1.914895e-01   1.319650e+00   0.000000e+00   0.000000e+00
    302   1.767103e+01   1.924770e-01   1.316400e+00   0.000000e+00   0.000000e+00
    303   1.771791e+01   1.934672e-01   1.313168e+00   0.000000e+00   0.000000e+00
    304   1.776478e+01   1.944600e-01   1.309954e+00   0.000000e+00   0.000000e+00
    305   1.781166e+01   1.954555e-01   1.306758e+00   0.000000e+00   0.000000e+00
    306   1.785853e+01   1.964536e-01   1.303580e+00   0.000000e+00   0.000000e+00
    307   1.790541e+01   1.974544e-01   1.300420e+00   0.000000e+00   0.000000e+00
    308   1.795228e+01   1.984578e-01   1.297277e+00   0.000000e+00   0.000000e+00
    309   1.799916e+01   1.994639e-01   1.294152e+00   0.000000e+00   0.000000e+00
    310   1.804603e+01   2.004727e-01   1.291044e+00   0.000000e+00   0.000000e+00
    311   1.809291e+01   2.014841e-01   1.287954e+00   0.000000e+00   0.000000e+00
    312   1.813978e+01   2.024982e-01   1.284880e+00   0.000000e+00   0.000000e+00
    313   1.818666e+01   2.035150e-01   1.281824e+00   0.000000e+00   0.000000e+00
    314   1.823353e+01   2.045344e-01   1.278785e+00   0.000000e+00   0.000000e+00
    315   1.828041e+01   2.055565e-01   1.275762e+00   0.000000e+00   0.000000e+00
    316   1.832728e+01   2.065813e-01   1.272756e+00   0.000000e+00   0.000000e+00
    317   1.837416e+01   2.076088e-01   1.269767e+00   0.000000e+00   0.000000e+00
    318   1.842103e+01   2.086389e-01   1.266794e+00   0.000000e+00   0.000000e+00
